table,name,definition,type,allowed_values,units,missing_value_rules
yearbook_clean,E24_26_Urban_Workers_Endowment_Insurance_Participants_at_Year_End,Urban Workers Endowment Insurance Participants at Year End (China Statistical Yearbook table E24_26),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_26_Urban_Workers_Endowment_Insurance_Retirees,Urban Workers Endowment Insurance Retirees (China Statistical Yearbook table E24_26),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_26_Urban_Workers_Endowment_Insurance_Revenue,Urban Workers Endowment Insurance Revenue (China Statistical Yearbook table E24_26),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_26_Urban_Workers_Endowment_Insurance_Workers,Urban Workers Endowment Insurance Workers (China Statistical Yearbook table E24_26),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_27_Urban_Rural_Residents_Endowment_Insurance_Balance_at_Year_End,Urban Rural Residents Endowment Insurance Balance at Year End (China Statistical Yearbook table E24_27),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_27_Urban_Rural_Residents_Endowment_Insurance_Expenses,Urban Rural Residents Endowment Insurance Expenses (China Statistical Yearbook table E24_27),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_27_Urban_Rural_Residents_Endowment_Insurance_Participants_at_Year_End,Urban Rural Residents Endowment Insurance Participants at Year End (China Statistical Yearbook table E24_27),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_27_Urban_Rural_Residents_Endowment_Insurance_People_Received_Pension,Urban Rural Residents Endowment Insurance People Received Pension (China Statistical Yearbook table E24_27),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_27_Urban_Rural_Residents_Endowment_Insurance_Revenue,Urban Rural Residents Endowment Insurance Revenue (China Statistical Yearbook table E24_27),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_28_Beneficiaries_of_Unemployment_Insurance_Fund,Beneficiaries of Unemployment Insurance Fund (China Statistical Yearbook table E24_28),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_28_Unemployment_Insurance_Balance_at_Year_End,Unemployment Insurance Balance at Year End (China Statistical Yearbook table E24_28),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_28_Unemployment_Insurance_Expenses,Unemployment Insurance Expenses (China Statistical Yearbook table E24_28),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_28_Unemployment_Insurance_Participants_at_Year_End,Unemployment Insurance Participants at Year End (China Statistical Yearbook table E24_28),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_28_Unemployment_Insurance_Revenue,Unemployment Insurance Revenue (China Statistical Yearbook table E24_28),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_29_Basic_Medical_Insurance_Participants_at_Year_End,Basic Medical Insurance Participants at Year End (China Statistical Yearbook table E24_29),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_29_Basic_Medical_Insurance_Retirees,Basic Medical Insurance Retirees (China Statistical Yearbook table E24_29),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_29_Basic_Medical_Insurance_Workers,Basic Medical Insurance Workers (China Statistical Yearbook table E24_29),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_29_Basic_Medical_Insurance_for_Urban_and_Rural_Residents,Basic Medical Insurance for Urban and Rural Residents (China Statistical Yearbook table E24_29),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_29_Basic_Medical_Insurance_for_Workers,Basic Medical Insurance for Workers (China Statistical Yearbook table E24_29),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_30_Basic_Medical_Insurance_Balance_at_Year_End_Residents,Basic Medical Insurance Balance at Year End Residents (China Statistical Yearbook table E24_30),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
